Pokemon,Method,Time,Location,Available,Notes
Absol,Event,Any,Voidal Chasm,13 - Adam,Obtained during Legend of the Void
Amaura,Event,Any,Festival Plaza,11 - Magenta & Neon,Fish up the fossil with Gourmet Bait. Revive post fly
Ambipom,Static,Any,Route 2,6 - Crawli,
Arbok,Static,Any,Zorrialyn Desert,13 - Adam,
Articuno,Event,Any,Route 11,.Karma Files,
Axew,Arcade,Any,GDC Arcade,13 - Adam,
Azelf,Static,Any,Den of Valor,.Karma Files,Den of Valor is located in Honec Woods/Shrine. Not available on Renegade
Azurill,Mystery Egg,Day,Route 3,5 - Valarie,Trade a Phantump Egg for the Mystery Egg
Bagon,Trade,Any,Treasure Treehouse,15 - Saki,Togepi
Beldum,Event,Any,Helojak Island,13 - Adam,"Requires 15,000 Red Essence"
Bidoof,Static,Any,Route 3 (South),4 - Narcissa,
Blitzle,Static,Any,Junction Bridge,2 - Keta,
Bronzor,Event,Any,Chrysalis Manor,3 - Marianette,Speak to Marianette in the storage closet
Bronzor (Aevian),Static,Any,Darchlight Caves,10 - Flora,
Budew,Static,Any,Route 8,13 - Adam,
Buizel,Event,Any,East Gearen (Right),1 - Venam,Refer to Buizel Sidequest for obtaining
Bulbasaur,Event,Any,Kakori Help Plaza,6 - Crawli,Complete the Abnormal Phenomenon Quest
Buneary,Static,Any,Evergreen Forest,6 - Crawli,
Burmy,Static,Any,Route 8,13 - Adam,
Carbink,Static,Any,Darchlight Caves,10 - Flora,
Castform,Trade,Any,Mt. Terajuma,6 - Crawli,Dunsparce
Chansey,Static,Any,Route 6,8 - Amber,Requires Starfall Weather
Charmander,Trade,Any,The Underground,12 - Souta,10 Red Shards
Chatot,Static,Any,Route 8,13 - Adam,
Chespin,Event,Any,Route 4 (North),5 - Valarie,"Cairo's House. Require 10,000 Red Essence"
Chikorita,Trade,Any,Route 2,7 - Angie,Chikorita
Chimchar,Static,Any,Magrodar Crater,13 - Adam,Requires 12 pieces of Charcoal
Clamperl,Static,Any,Route 5,8 - Amber,Requires Lurking Lighthouse to be completed.
Clauncher,Static,Any,Akuwa Town,5 - Valarie,
Clobbopus,Event,Any,Sheridan Village,2 - Keta,"Complete ""Battle Request 2"""
